"Name","Mass","Differentiated","Undiff_Type","Ordinary_Type"
"Pricetown",6.80239476332431,"Undifferentiated","Ordinary","L Meteorite"
"Puerto Lápice",6.21460809842219,"Differentiated",NA,NA
"Pulsora",6.32793678372919,"Undifferentiated","Ordinary","H Meteorite"
"Pultusk",12.4292161968444,"Undifferentiated","Ordinary","H Meteorite"
"Punganaru",4.60517018598809,"Differentiated",NA,NA
"Putinga",12.6115377536383,"Undifferentiated","Ordinary","L Meteorite"
"Qidong",7.15070145759253,"Undifferentiated","Ordinary","L Meteorite"
"Qingzhen",7.86326672400957,"Undifferentiated","Enstatite",NA
"Queen's Mercy",8.85366542803745,"Undifferentiated","Ordinary","H Meteorite"
"Quenggouk",8.70698676304889,"Undifferentiated","Ordinary","H Meteorite"
"Quesa",9.28266103355581,"Differentiated",NA,NA
"Quija",9.76709492763057,"Undifferentiated","Ordinary","H Meteorite"
"Quincay",4.17438726989564,"Undifferentiated","Ordinary","L Meteorite"
"Raco",8.51719319141624,"Undifferentiated","Ordinary","H Meteorite"
"Raghunathpura",9.23014299927236,"Differentiated",NA,NA
"Rahimyar Khan",11.1158004811371,"Undifferentiated","Ordinary","L Meteorite"
"Rakovka",9.10497985631836,"Undifferentiated","Ordinary","L Meteorite"
"Ramnagar",8.2337687092171,"Undifferentiated","Ordinary","L Meteorite"
"Rampurhat",4.60517018598809,"Undifferentiated","Ordinary","LL Meteorite"
"Ramsdorf",8.45148064805086,"Undifferentiated","Ordinary","L Meteorite"
"Ranchapur",5.67125928295064,"Undifferentiated","Ordinary","H Meteorite"
"Rancho de la Presa",5.7037824746562,"Undifferentiated","Ordinary","H Meteorite"
"Rangala",8.07853317845043,"Undifferentiated","Ordinary","L Meteorite"
"Raoyang",8.49902922078857,"Undifferentiated","Ordinary","L Meteorite"
"Ras Tanura",1.80828877117927,"Undifferentiated","Ordinary","H Meteorite"
"Rasgrad",10.1145585226161,"Differentiated",NA,NA
"Ratyn",6.8134445995109,"Differentiated",NA,NA
"Red Canyon Lake",2.91289399524499,"Undifferentiated","Ordinary","H Meteorite"
"Reliegos",9.75846178048587,"Undifferentiated","Ordinary","L Meteorite"
"Rembang",9.21034037197618,"Differentiated",NA,NA
"Renazzo",6.90775527898214,"Undifferentiated","Carbonaceous",NA
"Renca",5.7037824746562,"Undifferentiated","Ordinary","L Meteorite"
"Renqiu",5.87211778947542,"Undifferentiated","Ordinary","L Meteorite"
"Repeev Khutor",8.85366542803745,"Differentiated",NA,NA
"Revelstoke",0,"Undifferentiated","Carbonaceous",NA
"Rewari",8.11132800328673,"Undifferentiated","Ordinary","L Meteorite"
"Rich Mountain",6.50428817353665,"Undifferentiated","Ordinary","L Meteorite"
"Richardton",11.4075649493124,"Undifferentiated","Ordinary","H Meteorite"
"Richland Springs",7.54960916515453,"Undifferentiated","Carbonaceous",NA
"Richmond",7.49554194388426,"Undifferentiated","Ordinary","LL Meteorite"
"Rio Negro",7.1777824161952,"Undifferentiated","Ordinary","L Meteorite"
"Rivolta de Bassi",4.63763737612559,"Differentiated",NA,NA
"Rochester",5.82894561761021,"Undifferentiated","Ordinary","H Meteorite"
"Rockhampton",7.40306109109009,"Differentiated",NA,NA
"Roda",5.99146454710798,"Differentiated",NA,NA
"Rodach",7.97246601597457,"Differentiated",NA,NA
"Rose City",9.26860928010016,"Undifferentiated","Ordinary","H Meteorite"
"Rowton",8.1605182474775,"Differentiated",NA,NA
"Ruhobobo",6.14311209671712,"Undifferentiated","Ordinary","L Meteorite"
"Rupota",8.69951474821019,"Undifferentiated","Ordinary","L Meteorite"
"Ryechki",9.47270463644367,"Undifferentiated","Ordinary","L Meteorite"
"Sabetmahet",7.13089883029635,"Undifferentiated","Ordinary","H Meteorite"
"Sabrum",6.16961073249146,"Undifferentiated","Ordinary","LL Meteorite"
"Saint-Sauveur",9.5468126085974,"Undifferentiated","Enstatite",NA
"Saint-Séverin",12.5098740998618,"Undifferentiated","Ordinary","LL Meteorite"
"Sakauchi",8.3380665255188,"Differentiated",NA,NA
"Salem",4.1174098351531,"Undifferentiated","Ordinary","L Meteorite"
"Salles",9.10497985631836,"Undifferentiated","Ordinary","L Meteorite"
"Salzwedel",3.76120011569356,"Undifferentiated","Ordinary","LL Meteorite"
"Samelia",7.8087293067444,"Differentiated",NA,NA
"San Juan Capistrano",4.02535169073515,"Undifferentiated","Ordinary","H Meteorite"
"San Michele",5.46806014113513,"Undifferentiated","Ordinary","L Meteorite"
"San Pedro de Quiles",5.64190707093811,"Undifferentiated","Ordinary","L Meteorite"
"San Pedro Jacuaro",6.13122648948314,"Undifferentiated","Ordinary","LL Meteorite"
"Santa Barbara",5.99146454710798,"Undifferentiated","Ordinary","L Meteorite"
"Santa Cruz",4.0943445622221,"Undifferentiated","Carbonaceous",NA
"Santa Isabel",8.61250337122056,"Undifferentiated","Ordinary","L Meteorite"
"Santa Lucia (2008)",8.29404964010203,"Undifferentiated","Ordinary","L Meteorite"
"São Jose do Rio Preto",6.83195356556585,"Undifferentiated","Ordinary","H Meteorite"
"Saratov",12.2060726455302,"Undifferentiated","Ordinary","L Meteorite"
"Sasagase",6.54391184556479,"Undifferentiated","Ordinary","H Meteorite"
"Sauguis",8.29404964010203,"Undifferentiated","Ordinary","L Meteorite"
"Savtschenskoje",7.82404601085629,"Undifferentiated","Ordinary","LL Meteorite"
"Sayama",6.06378520868761,"Undifferentiated","Carbonaceous",NA
"Sazovice",6.02102334934953,"Undifferentiated","Ordinary","L Meteorite"
"Schellin",8.85366542803745,"Undifferentiated","Ordinary","L Meteorite"
"Schenectady",5.64650640683647,"Undifferentiated","Ordinary","H Meteorite"
"Schönenberg",8.98719682066197,"Undifferentiated","Ordinary","L Meteorite"
"Searsmont",8.59415423255237,"Undifferentiated","Ordinary","H Meteorite"
"Sediköy",5.48063892334199,"Undifferentiated","Ordinary","L Meteorite"
"Segowlie",8.84361509218395,"Undifferentiated","Ordinary","LL Meteorite"
"Selakopi",7.37148929521428,"Undifferentiated","Ordinary","H Meteorite"
"Seldebourak",5.01063529409626,"Undifferentiated","Ordinary","H Meteorite"
"Semarkona",6.53813982376767,"Undifferentiated","Ordinary","LL Meteorite"
"Sena",8.29404964010203,"Undifferentiated","Ordinary","H Meteorite"
"Senboku",6.76388490856244,"Undifferentiated","Ordinary","H Meteorite"
"Seoni",9.90348755253613,"Undifferentiated","Ordinary","H Meteorite"
"Seres",9.04782144247841,"Undifferentiated","Ordinary","H Meteorite"
"Serra de Magé",7.49554194388426,"Differentiated",NA,NA
"Sete Lagoas",5.85793315448346,"Undifferentiated","Ordinary","H Meteorite"
"Sevilla",5.19295685089021,"Undifferentiated","Ordinary","LL Meteorite"
"Sevrukovo",11.5228757958234,"Undifferentiated","Ordinary","L Meteorite"
"Sfax",8.85366542803745,"Undifferentiated","Ordinary","L Meteorite"
"Shalka",8.29404964010203,"Differentiated",NA,NA
"Sharps",7.14282740116162,"Undifferentiated","Ordinary","H Meteorite"
"Shelburne",9.83091685970129,"Undifferentiated","Ordinary","L Meteorite"
"Shergotty",8.51719319141624,"Differentiated",NA,NA
"Sheyang",6.40522845803084,"Undifferentiated","Ordinary","L Meteorite"
"Shikarpur",8.21058650610077,"Undifferentiated","Ordinary","L Meteorite"
"Shuangyang",8.26873183211774,"Undifferentiated","Ordinary","H Meteorite"
"Shupiyan",8.51719319141624,"Undifferentiated","Ordinary","H Meteorite"
"Shytal",8.07090608878782,"Undifferentiated","Ordinary","L Meteorite"
"Siena",8.21608809863232,"Undifferentiated","Ordinary","LL Meteorite"
"Sikhote-Alin",16.9510047738934,"Differentiated",NA,NA
"Silao",7.44424864949671,"Undifferentiated","Ordinary","H Meteorite"
"Silistra",-1.89711998488588,"Differentiated",NA,NA
"Simmern",7.10824413973154,"Undifferentiated","Ordinary","H Meteorite"
"Sinai",7.28276117960559,"Undifferentiated","Ordinary","L Meteorite"
"Sindhri",9.03598698483141,"Undifferentiated","Ordinary","H Meteorite"
"Sinnai",7.60090245954208,"Undifferentiated","Ordinary","H Meteorite"
"Sioux County",8.3187422526924,"Differentiated",NA,NA
"Sitathali",7.37775890822787,"Undifferentiated","Ordinary","H Meteorite"
"Sivas",10.5966347330961,"Undifferentiated","Ordinary","H Meteorite"
"Sixiangkou",6.44571981938558,"Undifferentiated","Ordinary","L Meteorite"
"Ski",6.74523634948436,"Undifferentiated","Ordinary","L Meteorite"
"Slavetic",7.44307837434852,"Undifferentiated","Ordinary","H Meteorite"
"Slobodka",7.91935619066062,"Undifferentiated","Ordinary","L Meteorite"
"Soheria",4.28908863901461,"Undifferentiated","Carbonaceous",NA
"Soko-Banja",11.289781913656,"Undifferentiated","Ordinary","LL Meteorite"
"Sologne",3.98898404656427,"Undifferentiated","Ordinary","H Meteorite"
"Sołtmany",6.97166860472579,"Undifferentiated","Ordinary","L Meteorite"
"Sone",9.74683374249075,"Undifferentiated","Ordinary","H Meteorite"
"Songyuan",10.5159668300286,"Undifferentiated","Ordinary","L Meteorite"
"Sopot",6.86484777797086,"Undifferentiated","Carbonaceous",NA
"Soroti",7.62559507213245,"Differentiated",NA,NA
"St. Caprais-de-Quinsac",5.88610403145016,"Undifferentiated","Ordinary","L Meteorite"
"St. Christophe-la-Chartreuse",8.61250337122056,"Undifferentiated","Ordinary","L Meteorite"
"St. Denis Westrem",6.5510803350434,"Undifferentiated","Ordinary","L Meteorite"
"St. Germain-du-Pinel",8.29404964010203,"Undifferentiated","Ordinary","H Meteorite"
"St. Louis",6.90775527898214,"Undifferentiated","Ordinary","H Meteorite"
"St. Mark's",9.53097354456765,"Undifferentiated","Enstatite",NA
"St. Mary's County",3.1904763503465,"Undifferentiated","Ordinary","LL Meteorite"
"St. Mesmin",9.02401079378469,"Undifferentiated","Ordinary","LL Meteorite"
"St. Michel",9.74096862303835,"Undifferentiated","Ordinary","L Meteorite"
"St.-Chinian",4.90007610352919,"Undifferentiated","Ordinary","L Meteorite"
"Ställdalen",10.4341158035983,"Undifferentiated","Ordinary","H Meteorite"
"Stannern",10.8589989975636,"Differentiated",NA,NA
"Stavropol",7.3132203870903,"Undifferentiated","Ordinary","L Meteorite"
"Ste. Marguerite",8.50916101971897,"Undifferentiated","Ordinary","H Meteorite"
"Sterlitamak",12.6915804613119,"Differentiated",NA,NA
"Stratford",3.91202300542815,"Undifferentiated","Ordinary","L Meteorite"
"Strathmore",9.503009985939,"Undifferentiated","Ordinary","L Meteorite"
"Stretchleigh",9.24956108512946,"Differentiated",NA,NA
"St-Robert",10.1425044530066,"Undifferentiated","Ordinary","H Meteorite"
"Success",8.1605182474775,"Undifferentiated","Ordinary","L Meteorite"
"Suchy Dul",6.70355614366887,"Undifferentiated","Ordinary","L Meteorite"
"Suizhou",12.4684369099977,"Undifferentiated","Ordinary","L Meteorite"
"Sulagiri",11.6082356447746,"Undifferentiated","Ordinary","LL Meteorite"
"Sultanpur",7.44454100441766,"Undifferentiated","Ordinary","L Meteorite"
"Sungach",6.45676965557216,"Undifferentiated","Ordinary","H Meteorite"
"Supuhee",8.88668563906558,"Undifferentiated","Ordinary","H Meteorite"
"Sutter's Mill",6.90022701256135,"Undifferentiated","Carbonaceous",NA
"Sylacauga",8.62335338724463,"Undifferentiated","Ordinary","H Meteorite"
"Tabor",8.927977461002,"Undifferentiated","Ordinary","H Meteorite"
"Tadjera",9.10497985631836,"Undifferentiated","Ordinary","L Meteorite"
"Tagish Lake",9.21034037197618,"Undifferentiated","Carbonaceous",NA
"Tahara",6.90775527898214,"Undifferentiated","Ordinary","H Meteorite"
"Takenouchi",6.5792512120101,"Undifferentiated","Ordinary","H Meteorite"
"Talampaya",7.2591161280971,"Differentiated",NA,NA
"Tambakwatu",9.25913053614561,"Undifferentiated","Ordinary","L Meteorite"
"Tamdakht",11.5129254649702,"Undifferentiated","Ordinary","H Meteorite"
"Tané",6.80793494369993,"Undifferentiated","Ordinary","L Meteorite"
"Taonan",8.25582842728183,"Undifferentiated","Ordinary","L Meteorite"
"Tatahouine",9.39266192877014,"Differentiated",NA,NA
"Tathlith",7.82404601085629,"Undifferentiated","Ordinary","L Meteorite"
"Tauk",8.69951474821019,"Undifferentiated","Ordinary","L Meteorite"
"Tauti",9.95227771670556,"Undifferentiated","Ordinary","L Meteorite"
"Tenham",11.982929094216,"Undifferentiated","Ordinary","L Meteorite"
"Tennasilm",10.2576593662567,"Undifferentiated","Ordinary","L Meteorite"
"Thal",5.8348107370626,"Undifferentiated","Ordinary","H Meteorite"
"Thika",9.56099724358935,"Undifferentiated","Ordinary","L Meteorite"
"Thuathe",10.7210623114711,"Undifferentiated","Ordinary","H Meteorite"
"Tianzhang",7.7106533235012,"Undifferentiated","Ordinary","H Meteorite"
"Tieschitz",10.2399597891573,"Undifferentiated","Ordinary","H Meteorite"
"Tilden",11.2225731639626,"Undifferentiated","Ordinary","L Meteorite"
"Tillaberi",8.00636756765025,"Undifferentiated","Ordinary","L Meteorite"
"Timochin",11.0898054216233,"Undifferentiated","Ordinary","H Meteorite"
"Tirupati",5.4380793089232,"Undifferentiated","Ordinary","H Meteorite"
"Tissint",8.85366542803745,"Differentiated",NA,NA
"Tjabe",9.90348755253613,"Undifferentiated","Ordinary","H Meteorite"
"Tjerebon",9.71111565988867,"Undifferentiated","Ordinary","L Meteorite"
"Tomakovka",6.39692965521615,"Undifferentiated","Ordinary","LL Meteorite"
"Tomatlan",6.80239476332431,"Undifferentiated","Ordinary","H Meteorite"
"Tomita",6.39692965521615,"Undifferentiated","Ordinary","L Meteorite"
"Tomiya",3.31418600467253,"Undifferentiated","Ordinary","H Meteorite"
"Tonk",2.04122032885964,"Undifferentiated","Carbonaceous",NA
"Torino",6.88448665204278,"Undifferentiated","Ordinary","H Meteorite"
"Torrington",5.55721408756806,"Undifferentiated","Ordinary","H Meteorite"
"Toulouse",6.93731408122368,"Undifferentiated","Ordinary","H Meteorite"
"Tounkin",7.60090245954208,"Undifferentiated","Carbonaceous",NA
"Tourinnes-la-Grosse",9.58190392840867,"Undifferentiated","Ordinary","L Meteorite"
"Trebbin",7.13089883029635,"Undifferentiated","Ordinary","LL Meteorite"
"Trenzano",9.37585481045376,"Undifferentiated","Ordinary","H Meteorite"
"Treysa",11.0508900053737,"Differentiated",NA,NA
"Tromøy",5.87885560272533,"Undifferentiated","Ordinary","H Meteorite"
"Troup",6.92755790627832,"Undifferentiated","Ordinary","L Meteorite"
"Trysil",6.46146817635372,"Undifferentiated","Ordinary","L Meteorite"
"Tsukuba",6.68461172766793,"Undifferentiated","Ordinary","H Meteorite"
"Tuan Tuc",9.48036750918924,"Undifferentiated","Ordinary","L Meteorite"
"Tugalin-Bulen",9.21034037197618,"Undifferentiated","Ordinary","H Meteorite"
"Turtle Lake",4.49200148788245,"Undifferentiated","Ordinary","L Meteorite"
"Tuxtuac",10.3089526606443,"Undifferentiated","Ordinary","LL Meteorite"
"Tysnes Island",9.89646293759916,"Undifferentiated","Ordinary","H Meteorite"
"Tyumen",6.62007320653036,"Differentiated",NA,NA
"Uberaba",10.5966347330961,"Undifferentiated","Ordinary","H Meteorite"
"Ucera",8.43163530305459,"Undifferentiated","Ordinary","H Meteorite"
"Uchkuduk",6.90775527898214,"Undifferentiated","Ordinary","L Meteorite"
"Udaipur",7.60090245954208,"Undifferentiated","Ordinary","H Meteorite"
"Udei Station",11.5424842672118,"Differentiated",NA,NA
"Uden",6.56526497003536,"Undifferentiated","Ordinary","LL Meteorite"
"Udipi",8.1886891244442,"Undifferentiated","Ordinary","H Meteorite"
"Ufana",5.24280465661778,"Undifferentiated","Enstatite",NA
"Ulmiz",4.33729074083249,"Undifferentiated","Ordinary","L Meteorite"
"Umbala",4.60517018598809,"Undifferentiated","Ordinary","LL Meteorite"
"Umm Ruaba",7.43838353004431,"Undifferentiated","Ordinary","L Meteorite"
"Undulung",4.73092139129365,"Undifferentiated","Ordinary","L Meteorite"
"Varre-Sai",7.82404601085629,"Undifferentiated","Ordinary","L Meteorite"
"Vavilovka",7.56631101477246,"Undifferentiated","Ordinary","LL Meteorite"
"Vengerovo",9.28730141311231,"Undifferentiated","Ordinary","H Meteorite"
"Veramin",10.8967393255464,"Differentiated",NA,NA
"Verkhne Tschirskaia",8.98719682066197,"Undifferentiated","Ordinary","H Meteorite"
"Vernon County",7.3132203870903,"Undifferentiated","Ordinary","H Meteorite"
"Vetluga",6.62007320653036,"Differentiated",NA,NA
"Vigarano",9.61580548008435,"Undifferentiated","Carbonaceous",NA
"Villalbeto de la Peña",8.1605182474775,"Undifferentiated","Ordinary","L Meteorite"
"Vilna",-2.30258509299405,"Undifferentiated","Ordinary","L Meteorite"
"Virba",8.1886891244442,"Undifferentiated","Ordinary","L Meteorite"
"Vishnupur",7.79852305362521,"Undifferentiated","Ordinary","LL Meteorite"
"Vissannapeta",7.17303835649044,"Differentiated",NA,NA
"Visuni",6.38687931936265,"Undifferentiated","Ordinary","H Meteorite"
"Vouillé",9.90348755253613,"Undifferentiated","Ordinary","L Meteorite"
"Walters",10.2435248553218,"Undifferentiated","Ordinary","L Meteorite"
"Warrenton",7.37775890822787,"Undifferentiated","Carbonaceous",NA
"Washougal",5.41610040220442,"Differentiated",NA,NA
"Wittekrantz",7.69621263934641,"Undifferentiated","Ordinary","L Meteorite"
"Wolamo",5.11439452838711,"Undifferentiated","Carbonaceous",NA
"Wold Cottage",10.1266311038503,"Undifferentiated","Ordinary","L Meteorite"
"Woolgorong",10.4912742174382,"Undifferentiated","Ordinary","L Meteorite"
"Worden",7.34665516317654,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97331",3.60277675506052,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97332",3.59731226058845,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97333",2.4423470353692,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97334",3.77276093809464,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97335",2.27212588550934,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97336",0.641853886172395,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97337",2.81540871942271,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97338",3.13549421592915,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97339",2.01490302054226,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97340",2.27212588550934,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97341",3.07731226054641,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97342",5.17614973257383,"Undifferentiated","Ordinary","H Meteorite"
"Queen Alexandra Range 97343",4.3333614626926,"Undifferentiated","Ordinary","H Meteorite"
"Queen Alexandra Range 97344",3.4626060097908,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97345",3.70868208141012,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97346",4.86907172977447,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97347",4.58496747867057,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97348",3.92592591059714,"Differentiated",NA,NA
"Queen Alexandra Range 97349",3.21084365317094,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97350",4.26549281841793,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97351",3.8607297110406,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97352",2.2082744135228,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97353",3.2188758248682,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97354",3.00071981506503,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97355",2.70805020110221,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97356",2.45100509811232,"Undifferentiated","Ordinary","H Meteorite"
"Queen Alexandra Range 97357",1.54756250871601,"Undifferentiated","Ordinary","H Meteorite"
"Queen Alexandra Range 97358",2.18605127673809,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97359",2.18605127673809,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97361",2.64617479738412,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97362",2.80336038090653,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97363",4.29456060889261,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97364",3.34638914516716,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97365",2.54944517092557,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97366",4.4496852831477,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97367",2.09186406167839,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97368",2.62466859216316,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97369",1.16315080980568,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97370",0.262364264467491,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97371",0.262364264467491,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97372",0,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97373",1.68639895357023,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97375",1.43508452528932,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97376",1.43508452528932,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97377",0.53062825106217,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97378",0.262364264467491,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97379",0.993251773010283,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97380",3.4626060097908,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97381",1.02961941718116,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97382",1.02961941718116,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97383",1.1314021114911,"Undifferentiated","Ordinary","H Meteorite"
"Queen Alexandra Range 97384",3.35340671782581,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97385",2.52572864430826,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97386",3.06805293513362,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97387",3.99452422693989,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97388",1.25276296849537,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97389",1.88706964903238,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97390",4.17284762371004,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97391",3.06805293513362,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97392",3.23080439573347,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97393",1.98787434815435,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97394",3.65842024662923,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97395",3.9982007016692,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97396",2.82137888640921,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97397",4.32809829264833,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97398",3.71600812150219,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97399",3.44041809481544,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97400",3.53805656437935,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97401",3.74478708605223,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97402",3.76120011569356,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97403",4.75617305952462,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97404",2.99573227355399,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97405",3.02042488614436,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97406",2.77258872223978,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97407",2.89037175789616,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97408",3.38777436133001,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97409",0.8754687373539,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97410",3.24259235148552,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97411",1.70474809223843,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97412",1.70474809223843,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97413",1.09861228866811,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97415",2.50143595173921,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97416",2.50959926237837,"Undifferentiated","Carbonaceous",NA
"Queen Alexandra Range 97417",2.16332302566054,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97418",1.54756250871601,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97419",0.262364264467491,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97420",3.14415227867226,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97421",3.36729582998647,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97422",2.36085400111802,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97423",2.72129542785223,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97424",2.06686275947298,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97425",3.61361696961339,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97426",3.5918177412708,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97427",3.36384159511839,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97428",3.74004774068834,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97429",3.68637632389582,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97430",4.24420031776648,"Differentiated",NA,NA
"Queen Alexandra Range 97431",4.62104353514438,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97432",4.85748411460208,"Undifferentiated","Ordinary","H Meteorite"
"Queen Alexandra Range 97433",4.66532410880784,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97434",3.61899332664977,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97435",2.68784749378469,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97436",0.641853886172395,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97437",1.09861228866811,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97438",0.955511445027436,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97439",1.62924053973028,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97440",4.46935046284556,"Undifferentiated","Ordinary","L Meteorite"
"Queen Alexandra Range 97441",4.09767235231478,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97442",3.74242022104197,"Undifferentiated","Ordinary","LL Meteorite"
"Queen Alexandra Range 97443",3.48431228837266,"Undifferentiated","Ordinary","LL Meteorite"
